,accuracy,precision,recall,f1,tp,fp,tn,fn,auc
"V1 (T=50, 10k features)",84.97%,53.34%,78.45%,63.50%,1773.0,1551.0,9749.0,487.0,90.30%
"V2 (T=200, 50k features)",92.11%,77.00%,75.09%,76.03%,1697.0,507.0,10793.0,563.0,94.54%
